Ward,Sub,Building Name,Building Address,Total Electors,Additions to the Voters List,Deletions to the Voters List,Corrections to the Voters List,School Board - Public,School Board - Catholic,School Board - French Public,School Board - French Catholic,School Board - Non-Resident,Total Eligible Electors,Number Voted,% Voted,Rejected Ballots,Declined Ballots
1,25,Antonio Mazzota Seniors Building,88 Humber College Blvd.,140,5,1,3,126,18,0,1,0,145,64,44%,0,0
1,26,Humber Valley Terrace by Revera,95 Humber College Blvd.,112,38,0,1,143,7,0,0,0,150,50,33%,0,0
1,27,Humber College LRC,205 Humber College Blvd.,2277,34,4,5,1927,377,2,0,2,2308,537,23%,0,0
1,28,King's Terrace,6 Humberline Drive,237,13,0,8,211,40,0,0,0,251,105,42%,1,0
1,29,Humberline Place,10 Humberline Drive,274,4,0,1,193,86,0,0,0,279,81,29%,0,0
1,30,Forest Manor,20 Humberline Drive,331,9,2,0,280,58,0,0,0,338,76,22%,0,0
1,31,Deerwood Creek Care Community,70 Humberline Drive,28,25,0,0,40,11,1,1,0,53,27,51%,2,0
1,32,Humberwood Community Centre,850 Humberwood Blvd.,3089,45,5,27,2781,337,9,0,5,3132,1064,34%,0,2
1,33,Mansions of Humberwood,710 Humberwood Blvd.,1069,34,2,11,980,120,2,1,0,1103,308,28%,0,0
1,34,Ascot Co-Operative Community Centre,920 Queen's Plate Drive,1393,49,3,14,1009,439,4,0,3,1455,337,23%,2,0
1,35,Martin Grove United Church,75 Pergola Road,1635,19,14,20,981,621,3,4,31,1640,659,40%,0,3
1,36,West Humber Junior Middle School,15 Delsing Drive,1637,35,3,6,1198,467,2,5,0,1672,648,39%,0,0
1,37,Msgr. Percy Johnson Catholic School,2170 Kipling Avenue,1537,22,6,17,1104,415,0,3,34,1556,394,25%,5,0
1,38,Kipling Acres,2233 Kipling Avenue,78,36,0,1,100,15,0,1,0,116,43,38%,0,1
1,39,West Acres Seniors Centre,65 Hinton Road,827,20,4,18,595,247,3,3,0,848,294,35%,0,0
1,40,Rivercrest Junior Public School,30 Harefield Drive,1850,21,17,16,1231,611,8,3,4,1857,696,37%,0,0
1,41,Thistletown Collegiate Institute,20 Fordwich Crescent,1008,13,5,2,679,334,3,1,0,1017,331,33%,2,0
1,42,Braeburn Junior School,15 Tandridge Crescent,1443,54,2,9,1052,439,5,4,0,1500,271,18%,4,0
1,43,Humberset,238 Albion Road,293,16,1,5,240,69,1,0,0,310,124,40%,0,0
1,44,Rio Plaza,236 Albion Road,431,23,1,1,394,65,3,0,0,462,140,30%,0,0
1,45,The Humberwood,2 Armel Court,341,41,1,4,230,152,1,1,0,384,111,29%,0,0
1,46,Humber Green Grand Vista,234 Albion Road,400,41,3,0,353,84,3,0,1,441,173,39%,0,0
1,47,The Elms Junior Middle School,45 Golfdown Drive,935,18,2,7,556,395,1,0,0,952,322,34%,1,0
1,48,LINC,30 Barrhead Crescent,2082,21,8,18,1353,724,6,5,9,2097,695,33%,0,2
1,49,Rexdale Presbyterian Church,2314 Islington Avenue,1547,32,11,13,1148,415,3,1,9,1576,311,20%,1,0
1,50,Highway Terraces Apartments,2314 Islington Avenue,181,19,6,0,173,22,0,0,0,195,102,53%,2,1
1,51,Elmlea Junior School,50 Hadrian Drive,2107,28,10,22,1422,697,4,2,2,2127,798,38%,0,1
1,52,School of Experiential Education,40 McArthur Street,2694,66,13,2,1988,756,7,7,1,2759,740,27%,0,0
1,53,Don Bosco Catholic School,2 St. Andrews Blvd.,1156,35,2,12,579,603,5,4,0,1191,485,41%,0,0
1,54,St. Maurice Catholic School,45 Kingsview Blvd.,2370,46,12,47,1753,643,15,3,0,2414,611,25%,0,0
1,55,Kingsview Village Junior School,1 York Road,2146,91,14,11,2061,193,13,1,0,2268,520,23%,0,0
1,56,Islington 2000,2000 Islington Avenue,478,7,5,7,363,117,0,1,0,481,288,60%,0,0
1,57,Parkfield Junior School,31 Redgrave Drive,2252,17,7,15,1464,787,3,7,0,2261,832,37%,3,1
1,58,Golden Gate,44 Longbourne Drive,217,5,0,2,164,55,1,2,0,222,115,52%,0,0
1,59,Richgrove Village,620 Martin Grove Road,786,26,6,28,682,122,2,1,0,807,274,34%,0,1
1,60,Willowridge Towers,22 Willowridge Road,931,22,1,9,745,215,2,2,1,965,197,20%,0,0
1,97,Toronto City Hall - Vote Anywhere,100 Queen Street West,,3,3,2,,,,,,,62,,0,0
1,98,West Acres Seniors Centre,65 Hinton Road,,169,16,100,,,,,,,1998,,0,1
1,99,North Kipling Community Centre,2 Rowntree Road,,124,16,61,,,,,,,1891,,0,1
1 Total,,,,70957,1998,318,731,53717,18305,176,135,304,72637,25593,35%,42,20
2,1,Transfiguration Catholic School,55 Ludstone Drive,1083,12,7,15,540,539,6,1,0,1086,462,43%,1,0
2,2,Kipling Collegiate Institute,380 The Westway,1961,16,11,26,1334,626,4,4,1,1969,583,30%,4,1
2,3,Dixon Grove Junior Middle School,315 The Westway,1299,11,7,23,571,724,2,6,0,1303,523,40%,0,0
2,4,Westway United Church,8 Templar Drive,1673,21,6,9,1164,503,6,8,9,1690,420,25%,1,0
2,5,Tiffany Place,11 Wincott Drive,480,15,8,6,344,137,5,1,0,487,157,32%,0,0
2,6,Westway Junior School,25 Poynter Drive,1456,18,10,13,936,527,2,1,0,1466,544,37%,2,1
2,7,Valleyfield Junior School,35 Saskatoon Drive,1911,14,17,24,989,901,2,8,7,1907,624,33%,0,0
2,8,St. Andrew's Presbyterian Church,1579 Royal York Road,1416,12,7,7,810,602,6,3,1,1422,505,36%,0,0
2,9,Humber Heights Long Term Care,2245 Lawrence Avenue West,0,109,0,0,110,2,0,0,0,112,112,100%,0,0
2,10,Westmount Junior School,95 Chapman Road,2126,28,18,31,1146,963,5,17,5,2136,649,30%,0,0
2,11,Humber Hill Tower,15 La Rose Avenue,423,17,1,1,284,155,0,0,0,439,182,41%,0,0
2,12,Richview Terrace,1 Richview Road,528,13,3,2,406,128,3,2,0,539,175,32%,0,0
2,13,Top of the Humber,61 Richview Road,381,16,3,1,243,150,0,1,0,394,191,48%,0,0
2,14,Ukrainian Canadian Care Centre,60 Richview Road,71,27,1,0,79,18,0,0,0,97,28,29%,0,0
2,15,St. Demetrius Catholic School,125 La Rose Avenue,2581,69,23,45,1743,858,8,20,0,2629,679,26%,1,0
2,16,St. Demetrius Residence,123 La Rose Avenue,243,44,3,9,145,136,0,3,0,284,147,52%,0,0
2,17,Humbervale Place,1447 Royal York Road,96,19,0,0,103,12,0,0,0,115,60,52%,0,0
2,18,Capstone Community Bible Church,1483 Royal York Road,1103,9,7,0,467,635,1,1,1,1105,429,39%,0,2
2,19,Hilltop Middle School,35 Trehorne Drive,1739,19,10,34,715,1007,1,4,22,1749,673,38%,3,0
2,20,Father Serra Catholic School,111 Sun Row Drive,1088,7,9,14,470,611,0,4,0,1085,440,41%,3,0
2,21,Richview Public Library,1806 Islington Avenue,1260,18,14,15,682,575,0,2,0,1259,432,34%,0,0
2,22,Richview Seniors Residence,1540 Kipling Avenue,125,17,3,1,119,22,0,0,0,141,75,53%,0,0
2,23,Richview Seniors Residence,105 Clement Road,166,43,5,3,176,31,0,1,0,208,124,60%,0,0
2,24,Widdicombe Place,53-57 Widdicombe Hill Blvd.,402,49,7,6,378,65,0,0,0,443,229,52%,0,0
2,25,Central Etobicoke High School,10 Denfield Street,1760,32,13,18,1153,612,0,7,12,1784,510,29%,0,1
2,26,Huntingwood Place,63 Widdicombe Hill Blvd.,367,34,4,7,303,96,1,0,0,400,161,40%,0,0
2,27,Huntingwood Place,73 Widdicombe Hill Blvd.,327,45,3,2,285,80,1,6,0,372,182,49%,2,1
2,28,Huntingwood Place,120 Widdicombe Hill Blvd.,383,30,5,6,338,67,5,0,0,410,176,43%,0,0
2,29,Briarcrest Junior Public School,60 Wellesworth Drive,2309,24,7,30,1636,687,1,3,0,2327,807,35%,1,1
2,30,Martingrove Collegiate Institute,50 Winterton Drive,2353,17,19,17,1792,545,1,12,1,2351,796,34%,2,0
2,31,John G. Althouse Middle School,130 Lloyd Manor Road,2140,41,12,3,1478,685,4,4,0,2171,930,43%,0,0
2,32,St. George's Junior School,70 Princess Anne Crescent,1897,29,13,19,1406,498,1,7,1,1913,806,42%,0,1
2,33,Richview Collegiate Institute,1738 Islington Avenue,1533,14,8,14,960,574,0,9,0,1543,541,35%,0,0
2,34,Leonardo DaVinci Academy,100 Allanhurst Drive,2860,14,11,1,1548,1292,8,17,0,2865,1046,37%,5,0
2,35,Scarlett Heights Retirement Res.,4005 Eglinton Avenue West,40,52,0,1,91,4,0,0,0,95,95,100%,0,0
2,36,20 Fontenay Court,20 Fontenay Court,279,17,1,4,202,90,2,2,0,296,84,29%,0,2
2,37,Perspective,25 Fontenay Crt,229,21,0,8,228,22,0,0,0,250,124,50%,0,0
2,38,Royal York Gardens,1139 Royal York Road,347,41,5,9,331,49,3,2,0,385,167,43%,2,0
2,39,St. Giles Kingsway Presb. Church,15 Lambeth Road,2283,114,19,185,1878,495,8,19,5,2405,952,40%,1,0
2,40,Humber Valley Village Jr. Middle School,65 Hartfield Road,2176,29,24,22,1720,440,2,17,2,2181,753,35%,1,0
2,41,Memorial Pool & Health Club,44 Montgomery Road,1839,21,15,29,1232,595,5,13,0,1845,751,41%,0,0
2,42,Rosethorn Junior School,2 Remington Drive,1914,17,13,25,1342,547,7,17,3,1916,757,40%,2,2
2,43,St. Gregory Catholic School,126 Rathburn Road,1927,22,9,22,1251,669,3,18,0,1941,726,37%,2,0
2,44,Josyf Cardinal Slipyj School,35 West Deane Park Drive,2360,27,11,31,1490,859,8,18,5,2380,784,33%,0,0
2,45,Summit Royal,625 The West Mall,811,34,1,16,603,235,1,6,0,845,287,34%,1,0
2,46,The Buckingham,714 The West Mall,725,30,5,8,521,229,0,1,0,751,270,36%,0,0
2,47,Wellesworth Jr. Public School,225 Wellesworth Drive,1544,4,8,28,1023,506,0,10,1,1540,474,31%,0,0
2,48,Michael Power/St. Joseph School,105 Eringate Drive,1235,5,7,17,712,507,3,7,1,1230,424,34%,0,0
2,49,Etobicoke Olympium,590 Rathburn Road,1320,6,4,10,725,581,5,12,0,1323,382,29%,0,0
2,50,Centennial Park Place,25 Centennial Park Road,9,26,0,0,31,4,0,0,0,35,24,74%,0,2
2,51,Nativity of Our Lord Church,480 Rathburn Road,2086,32,7,21,1334,773,3,2,3,2115,615,29%,0,0
2,52,Mill Valley Junior School,411 Mill Road,2022,37,11,12,1461,574,4,12,0,2051,697,34%,0,1
2,53,340 Mill Rd,340 Mill Road,372,10,7,7,338,37,0,0,0,375,120,32%,0,0
2,54,Broadacres Junior School,45 Crendon Drive,1874,30,9,4,1261,613,3,9,6,1892,555,29%,2,0
2,55,The Grange,551 The West Mall,428,15,1,13,343,98,0,0,0,441,177,40%,1,0
2,56,Lincoln Towers,545 The West Mall,353,21,5,3,269,96,3,1,0,369,101,27%,0,0
2,57,Bransfield House,511 The West Mall,394,13,1,2,350,58,0,0,0,408,129,32%,0,0
2,58,The Westbury,495 The West Mall,42,34,0,0,69,7,0,0,0,76,35,46%,0,0
2,59,Sunset West,475 The West Mall,475,17,3,14,384,106,0,0,0,490,222,45%,0,0
2,60,Sussex House,451 The West Mall,436,11,3,6,345,91,5,2,1,444,178,40%,0,0
2,61,Burnhamthorpe Adult Learning Centre,500 The East Mall,1673,20,6,4,1080,581,8,8,10,1687,488,29%,2,0
2,62,West Glen Junior School,47 Cowley Avenue,1873,18,7,12,1215,664,3,4,0,1886,553,29%,1,0
2,63,Eatonville Care Centre,420 The East Mall,91,33,1,0,91,32,0,0,0,123,39,32%,0,0
2,64,Our Lady Of Peace Catholic School,70 Mattice Ave,1235,20,12,22,754,465,2,8,12,1241,487,39%,1,0
2,65,Wedgewood Junior School,5 Swan Avenue,1994,31,11,27,1229,778,2,3,0,2012,842,42%,0,0
2,66,Queenscourt Condominiums,362 The East Mall,1437,13,5,9,1090,340,8,6,0,1444,450,31%,0,0
2,67,One Valhalla,5 Valhalla Inn Road,807,51,3,6,779,70,2,6,0,857,248,29%,1,0
2,68,Bloorlea Middle School,4050 Bloor Street West,1140,16,9,29,792,346,0,7,3,1148,358,31%,0,0
2,69,West Village,6 Eva Road,446,19,4,5,425,32,2,2,0,461,113,25%,0,0
2,70,Etobicoke Civic Centre,399 The West Mall,1322,24,10,20,1063,264,5,2,2,1336,228,17%,0,0
2,71,Wesburn Manor,400 The West Mall,82,13,1,71,81,13,0,0,0,94,17,18%,0,0
2,72,Eatonville Junior School,15 Rossburn Drive,1335,14,7,11,947,385,7,2,1,1342,434,32%,0,0
2,73,Bloordale Middle School,10 Toledo Road,1105,9,11,12,793,299,0,6,6,1104,412,37%,1,0
2,74,Millgate Manor Recreation Centre,303 Mill Road,1073,14,7,12,892,184,3,3,0,1082,483,45%,3,0
2,75,The Masters,300 Mill Road,406,20,2,5,342,76,2,4,0,424,261,62%,1,0
2,76,The Masters,288 Mill Road,349,16,2,4,280,80,2,3,0,365,200,55%,0,0
2,77,Millwood Junior Public School,222 Mill Road,1786,19,11,27,1237,539,6,11,1,1794,760,42%,0,0
2,78,St. Clement Catholic School,4319 Bloor Street West,1589,21,9,35,1067,524,4,4,5,1604,527,33%,0,0
2,79,Bloordale United Church,4258 Bloor Street West,1525,10,5,31,932,578,4,7,10,1531,487,32%,0,0
2,80,Dom Lipa Slovenian Linden Foundation,52 Neilson Drive,58,13,30,1,25,16,0,0,0,41,23,56%,0,0
2,97,Toronto City Hall - Vote Anywhere,100 Queen Street West,,5,4,3,,,,,,,141,,0,0
2,98,Centennial Park Ski Chalet,256 Centennial Park Road,,49,26,102,,,,,,,2872,,3,0
2,99,Richview Library,1806 Islington Ave,,93,33,120,,,,,,,3917,,2,0
2 Total,,,,88386,2130,660,1467,59501,29614,198,406,137,89856,38621,43%,52,15
3,1,Lambton Kingsway Jr. Middle School,525 Prince Edward Drive North,1854,30,14,22,1565,268,6,27,4,1870,805,43%,2,0
3,2,Kingsway Retirement Residence,4251 Dundas Street  West,61,40,5,0,88,8,0,0,0,96,44,46%,0,0
3,3,Kingsway Lambton United Church,85 The Kingsway,2567,62,12,24,2108,467,4,29,13,2621,1121,43%,2,0
3,4,Old Mill Towers,39 Old Mill Road,267,9,4,0,255,19,0,0,0,274,158,58%,0,1
3,5,All Saints Kingsway Anglican Church,2850 Bloor Street West,1069,24,7,8,878,182,8,7,10,1085,443,41%,0,0
3,6,Our Lady of Sorrows Catholic School,32 Montgomery Road,1494,17,18,22,1056,399,4,28,8,1495,663,44%,2,1
3,7,The Kingsway on the Park,1 Aberfoyle Crescent,409,18,2,9,327,102,0,2,0,431,276,64%,0,0
3,8,Barclay Terrace,1300 Islington Avenue,660,34,7,9,553,131,0,1,0,685,391,57%,2,0
3,9,Islington United Church,25 Burnhamthorpe Road,1601,41,16,31,1118,446,14,14,35,1627,634,39%,0,0
3,10,Islington Junior Middle School,44 Cordova Avenue,1405,22,9,28,1072,321,8,7,12,1420,346,24%,0,0
3,11,Montgomery Mills Rec Centre,24 Mabelle Avenue,1567,25,15,17,1395,171,9,4,0,1579,386,24%,0,0
3,12,52 Mabelle Ave,52 Mabelle Ave,430,32,4,6,365,87,2,4,0,458,136,30%,1,0
3,13,Islington Manor,41 Mabelle Avenue,576,32,7,0,569,32,0,0,1,602,263,44%,0,0
3,14,Port Royal Place V and IV,7 Michael Power Place,365,14,1,6,322,54,0,3,0,379,176,46%,2,0
3,15,Port Royal Place I II and III,11 Michael Power Place,526,13,4,6,441,90,1,3,0,535,227,42%,0,0
3,16,Church of The Resurrection,1 Resurrection Road,2341,91,25,27,2066,327,7,11,1,2412,640,27%,1,0
3,17,Labdara Lithuanian Nursing Home,5 Resurrection Road,12,12,9,0,1,14,0,0,0,15,13,87%,0,0
3,18,Tapestry Village Gate West,15 Summerland Terrace,0,109,0,0,96,12,0,1,0,109,109,100%,1,0
3,19,Parc Nuvo,15 Viking Lane,366,17,3,3,327,51,0,3,0,381,116,31%,0,1
3,20,Nuvo at Essex,25 Viking Lane,850,21,5,18,733,126,4,5,0,868,347,40%,0,0
3,21,The Essex,5233 Dundas Street West,761,11,5,8,631,133,1,1,0,766,304,40%,0,0
3,22,Residence at Kingsgate,101 Subway Crescent,392,20,2,2,342,63,2,3,0,410,170,41%,0,0
3,23,St. Elizabeth Catholic School,5 Redcar Avenue,2459,31,13,19,1525,912,14,16,12,2479,795,32%,3,0
3,24,Fairfield Seniors' Centre,80 Lothian Avenue,3244,64,30,55,2279,909,10,51,30,3279,1059,32%,0,1
3,25,Royal York Road United Church,851 Royal York Road,1909,26,14,22,1382,489,15,20,18,1924,752,39%,0,0
3,26,Norseman Junior Middle School,105 Norseman Street,1689,64,13,15,1127,582,1,18,21,1749,696,40%,0,0
3,27,Ivan Franko Home for the Aged,767 Royal York Road,36,19,0,0,25,30,0,0,0,55,19,35%,0,0
3,28,Bishop Allen Academy,721 Royal York Road,735,8,7,16,505,220,1,12,0,738,226,31%,0,0
3,29,Park Lawn Junior Middle School,71 Ballacaine Drive,1971,43,15,35,1569,383,13,37,0,2002,944,47%,4,2
3,30,Etienne Brule Public School,50 Cloverhill Road,2965,40,22,24,2339,634,7,9,1,2990,760,25%,0,0
3,31,St. Mark Catholic School,45 Cloverhill Road,2226,53,13,12,1556,686,10,15,4,2271,760,34%,0,1
3,32,Etobicoke School of the Arts,675 Royal York Road,1837,24,10,26,1228,589,2,15,18,1852,639,35%,3,0
3,33,Holy Angels Catholic School,65 Jutland Road,2928,88,7,5,1740,1184,4,19,66,3013,876,29%,5,0
3,34,Loggia,1040 The Queensway,358,27,4,2,327,54,0,0,0,381,167,44%,0,0
3,35,Kingsway Lambton Seniors Home,781 The Queensway,142,3,0,2,122,23,0,0,1,146,66,48%,0,4
3,36,St. Louis Catholic School,11 Morgan Avenue,1822,39,11,15,1264,563,3,12,8,1850,624,34%,2,0
3,37,Ourland Community Centre,18 Ourland Avenue,2509,51,10,65,1663,835,9,28,15,2550,839,33%,2,0
3,38,Edwards Manor,340 Royal York Road,259,12,4,0,239,26,1,1,0,267,114,43%,1,0
3,39,George R. Gauld Junior School,200 Melrose Street,2071,37,10,24,1546,521,8,15,10,2100,595,28%,0,0
3,40,Mimico Creek Club,185 Legion Road North,901,68,6,6,846,110,3,4,0,963,299,31%,2,0
3,41,Palace Place,1 Palace Pier Court,692,48,5,8,598,118,12,5,0,733,365,50%,0,0
3,42,Palace Pier,2045 Lake Shore Blvd. West,622,37,6,5,530,111,6,5,3,655,373,57%,0,0
3,43,Nevis Condominiums,88 Palace Pier Court,355,14,1,2,303,61,2,0,2,368,184,50%,0,0
3,44,Grenadier Landing,5 Marine Parade Drive,324,21,2,4,306,37,3,0,0,346,175,51%,1,2
3,45,Hearthstone by the Bay,3 Marine Parade Drive,159,5,2,3,154,10,0,0,0,164,114,70%,0,0
3,46,The Waterford,2083 Lake Shore Blvd. West,327,26,2,3,305,46,1,1,0,353,177,50%,0,0
3,47,Newport Beach,2111 Lake Shore Blvd. West,327,21,1,5,278,65,2,2,0,347,190,55%,0,1
3,48,The Explorer,58 Marine Parade Drive,311,21,1,1,283,47,0,2,0,332,129,39%,0,0
3,49,Voyager at Waterview,2121 Lake Shore Blvd W,545,40,2,0,516,63,1,3,0,583,244,42%,0,0
3,50,Nautilus at Waterview,16 Brookers Lane,364,36,7,7,346,44,3,0,0,393,158,40%,0,0
3,51,Waterscapes,80 Marine Parade Drive,268,20,1,13,259,28,0,1,0,288,119,41%,0,0
3,52,Lago at the Waterfront,56 Annie Craig Dr,317,16,1,5,325,7,1,0,0,333,76,23%,2,0
3,53,Ocean Club,60 Annie Craig Dr,385,28,0,1,406,8,1,0,0,415,93,22%,0,0
3,54,Jade Waterfront Condos,33 Shore Breeze Dr,0,45,0,0,41,7,0,0,0,48,48,100%,0,0
3,55,West Lake,2200 Lake Shore Blvd W,1092,67,9,30,1097,43,6,2,0,1148,245,21%,0,0
3,56,Key West,36 Park Lawn Rd,321,22,3,8,322,16,0,3,0,341,91,27%,0,0
3,57,South Beach,88-90 Park Lawn Road,560,61,5,2,572,42,1,1,0,616,225,37%,2,0
3,58,Beyond the Sea,2230 Lake Shore Blvd. W,759,68,7,14,731,74,5,9,1,820,252,31%,0,0
3,59,Marina Del Rey Malibu Club,2261 Lake Shore Blvd. West,1138,44,3,21,1008,154,7,11,1,1181,595,50%,0,0
3,60,Grand Harbour,2285 Lake Shore Blvd. West,553,23,3,1,505,65,3,3,0,576,281,49%,2,0
3,61,David Hornell Junior School,32 Victoria Street,1662,65,13,13,1373,311,11,13,11,1719,588,34%,0,1
3,62,Storefront Humber Inc,2445 Lake Shore Blvd. West,1834,42,16,37,1449,394,9,4,7,1863,496,27%,0,0
3,63,Griggs Manor,98 Cavell Avenue,1070,37,13,16,874,201,3,17,1,1096,508,46%,0,0
3,64,St. Leo Catholic School,165 Stanley Avenue,2033,51,11,23,1568,477,8,14,12,2079,798,38%,0,0
3,65,Mimico Adult Centre,255 Royal York Road,2102,56,4,26,1731,396,9,18,4,2158,802,37%,0,0
3,66,Garden Court Nursing Home,1 Sand Beach Road,17,7,0,0,20,4,0,0,0,24,7,33%,0,1
3,67,Second Street Junior Middle School,71 Second Street,1842,41,18,29,1511,326,4,17,9,1867,697,37%,2,0
3,68,LAMP Community Health Centre,185 Fifth Street,1110,43,7,5,936,181,4,7,19,1147,322,28%,0,1
3,69,Woods Manor,2835 Lake Shore Blvd. West,134,0,0,0,123,11,0,0,0,134,78,58%,0,0
3,70,Seventh Street Junior School,101 Seventh Street,1713,53,14,27,1375,348,11,13,10,1757,770,44%,0,0
3,71,Lakeshore Gardens,10 Garnett Janes Road,172,20,0,4,122,68,1,1,0,192,54,28%,0,0
3,72,Robert Cooke Co-op,20 Garnett Janes Road,141,25,0,2,139,27,0,0,0,166,58,35%,0,0
3,73,Lerette Manor,250 Twelfth Street,792,72,5,10,691,161,1,8,0,861,329,38%,0,1
3,74,Lakeshore Collegiate Institute,350 Kipling Avenue,1360,25,13,14,1076,284,6,3,5,1374,364,26%,0,0
3,75,Twentieth Street Junior School,3190 Lake Shore Blvd. West,1906,52,10,9,1480,429,8,9,22,1948,622,32%,1,0
3,76,Lakeshore Lodge,3197 Lake Shore Blvd. West,0,17,0,0,17,0,0,0,0,17,17,100%,0,0
3,77,Holy Trinity Catholic School,6 Colonel Samuel Smith Park Drive,1764,52,11,35,1407,366,14,10,5,1802,611,34%,3,0
3,78,James S. Bell Junior Middle School,90 Thirty First Street,2573,60,13,40,2093,476,21,19,10,2619,778,30%,1,0
3,79,Long Branch Public Library,3500 Lake Shore Blvd. West,1069,118,4,18,875,308,1,9,3,1196,505,42%,0,0
3,80,Lake Shore Park Estates,3845 Lake Shore Blvd. West,361,9,4,2,289,76,1,0,0,366,159,44%,0,2
3,81,Royal Canadian Legion Branch 101,3850 Lake Shore Blvd. W,1973,38,23,20,1553,416,5,8,7,1989,667,34%,0,0
3,82,Franklin Horner Community Centre,432 Horner Avenue,2640,45,8,6,1541,1116,5,1,23,2686,875,33%,0,0
3,83,Alderwood Pool,2 Orianna Drive,2341,53,11,19,1539,812,9,7,18,2385,818,34%,3,1
3,84,Lanor Junior Middle School,450 Lanor Avenue,2554,47,9,23,1656,907,12,14,8,2597,818,31%,2,0
3,85,St. Ambrose Catholic School,20 Coules Court,2272,29,17,28,1591,646,2,6,43,2288,804,35%,0,0
3,86,One Sherway (Tower 3 and 4),215 Sherway Gardens Road,535,58,0,5,530,61,2,1,0,594,192,32%,0,0
3,87,One Sherway (Tower 1 and 2),225 Sherway Gardens Road,636,34,2,11,574,89,0,6,0,669,231,35%,3,0
3,88,McCall Centre for Continuing Care,140 Sherway Drive,64,2,0,0,63,3,0,0,0,66,2,3%,1,0
3,97,Toronto City Hall - Vote Anywhere,100 Queen Street West,,28,11,14,,,,,,,296,,0,0
3,98,Fairfield Seniors Centre,80 Lothian Avenue,,107,37,122,,,,,,,3417,,2,0
3,99,Alderwood Pool,2 Orianna Drive,,95,34,144,,,,,,,2656,,0,1
3 Total,,,,95723,3435,732,1424,74671,22193,372,678,512,98426,41471,42%,60,22
4,1,3725 Dundas Street West,3725 Dundas Street West,576,10,2,1,452,124,1,5,1,583,114,20%,3,0
4,2,Warren Park Jr. Public School,135 Varsity Road,1955,42,19,109,1542,394,22,23,0,1981,749,38%,1,0
4,3,Royal Canadian Legion Branch 266/46,3591 Dundas Street West,891,22,12,8,733,154,8,5,1,901,423,47%,2,0
4,4,Humbercrest Public School,14 St Marks Road,2331,49,15,114,1856,480,19,13,3,2371,1048,44%,6,0
4,5,King George Public School,25 Rexford Road,1359,57,8,19,1020,339,19,9,26,1413,581,41%,3,0
4,6,James Culnan Catholic School,605 Willard Avenue,2383,65,37,44,1849,508,33,9,17,2416,1014,42%,2,0
